NAME,AMOUNT_REQUESTED__C,PROPOSAL_NAME_LONG_VERSION__C,APPLYING_INSTITUTION_NAME__C,AWARD_AMOUNT__C,DATE_CREATED__C,DATE_SUBMITTED__C,GRANT_PERIOD_END__C,GRANT_PERIOD_START__C,PROJECT_DESCRIPTION_PROPOSAL_ABSTRACT__C,ZENN_ID__C,STATUS__C,EXTERNAL_PROPOSAL_ID__C,APPLYING_INSTITUTION__C,PROGRAM_COHORT__C,RECORDTYPEID,PROPOSAL_FUNDER__C
Mashavu: Networked Health Solutions for the Developing World,50000,Mashavu: Networked Health Solutions for the Developing World,Pennsylvania State University-Main Campus,46850,2008-10-02,2008-10-20,2012-09-30,2009-02-01,"There is one doctor for every 50,000 people in East Africa compared to one doctor for every 390 people in the United States. It costs a significant amount of time and money to consult a doctor and whether to even consult a doctor is a critical decision. U.S. doctors are interested in performing outreach but cannot make commitments to long-term international assignments. Mashavu enables medical professionals around the world to connect with patients in the developing world using modern technology and communications infrastructure.       Trained operators at Mashavu stations in developing communities collect essential medical information including weight, body temperature, lung capacity, blood pressure, photographs, stethoscope rhythms, and basic hygiene and nutrition information for each patient on a regular basis. Web servers aggregate this information from various Mashavu stations over a cell-phone link and provide it on a web-based portal.  Medical professionals can view the patient s information and respond to the patient and the nearest doctor(s) with their recommendations. Validation efforts prove that numerous entities are willing to purchase Mashavu stations. They can charge customers a small fee, thereby making Mashavu economically sustainable and creating an additional revenue stream.       We propose to:   1. Design, prototype and test inexpensive computer-based biomedical devices (Mashavu station) and the networked system (Mashavu network).   2. Perform preliminary on-the-ground testing of the Mashavu stations, Mashavu network and the business plan.   3. Implement the system in a top-down manner (UNIDO, CYEC) and bottom-up manner (NIMR, grassroots) and craft the final scale-up strategy based on lessons learned.",1005881,Funded,5881-08,0017000001MBMSkAAP,a2C39000002zYt8EAE,012390000009qIDAAY,The Lemelson Foundation
New Models for Sustainable Health Ventures in Limited Resource Settings,50000,New Models for Sustainable Health Ventures in Limited Resource Settings,Boston University, ,2008-10-02,2008-10-08, , ,"The Boston University Institute for Technology Entrepreneurship and Commercialization (ITEC), in cooperation with faculty at the School of Management, and the School of Public Health, proposes to design and pilot an elective graduate course on the development of technology-based sustainable enterprises that improve community and public health in rural India and other low-resource settings.      BU students enrolled in this elective, New Health Ventures for the BOP (Bottom of the Pyramid), will partner with graduate students at BU and in India to identify, evaluate, and select high impact opportunities for innovation, develop concepts that are appropriate, affordable, and accessible technology-based solutions, and design sustainable non-profit and for-profit enterprises.       ITEC will partner with the Sree Chitra Thirunal Institute for Medical Sciences and Technology in Kerala, India. The Institute and ITEC will co-host a business design competition to be held in India as the capstone of the course.      The course will include three complementary content modules and team projects.   The modules will focus on Infrastructural Constraints, Alternative Marketing and Distribution Channels, and Sustainable Enterprises for the BOP.  The course syllabus will be developed during the summer of 2008.  The course will be offered for the first time in the Fall of 2009.       Specific Aims:   1.Design and pilot a new graduate course.   2.Identify high impact opportunities for technology solutions to public health challenges in rural India.   3.Partner with the Sree Citra Thirunal Institute to host a business design competition in India.   ",1005882,Not Accepted,5882-08,0017000001LSVFGAA5,a2C39000002zYt8EAE,012390000009qIDAAY,The Lemelson Foundation
Technology Based Innovations for Collaborative Human Service Delivery,50000,Technology Based Innovations for Collaborative Human Service Delivery,Northern Illinois University, ,2008-10-03,2008-10-21, , ,"Human service delivery systems nationwide are frustrated that despite their efforts, homelessness, jail recidivism, truancy, and other poverty-related issues are rising at an alarming rate across America. A core systems constraint is the isolation of individual service providers. Lacking workable communication systems to support inter-disciplinary collaborations, individual providers achieve success in their separate areas while other life issues continue to derail their clients. Despite these frustrations, attempts to implement collaborative technologies between providers that share clients have traditionally met with barriers and resistance.       To help resolve this dilemma, multiple departments and colleges of Northern Illinois University (NIU) have worked extensively with regional service providers and community leaders to develop a low barrier, technology-based approach to collaborative and holistic human service delivery.          Three products have emerged:      1) A community-wide visioning process focused on overcoming barriers and establishing environments supportive of collaborative service delivery.      2) A holistic methodology to effectively assess and address core life issues.      3) Web-based technology applications capable of removing traditional barriers to collaborative service delivery.       An entrepreneurial non-profit, Community Collaboration, Inc., (CCI), has been established to nationally market, distribute, and support these products. Initial implementations are effectively restructuring existing service system dynamics and demonstrating successful outcomes.       Project objectives will position these innovations for national replication.      1) Implement these innovations in communities of two additional states in collaboration with  Bridges out of Poverty , a nationally-recognized organization addressing poverty.      2) Develop indicators and document outcomes.      3) Deployment of inter-disciplinary service learning student teams to engage in the above objectives.   ",1005891,Not Accepted,5891-08,0017000001LSWzRAAX,a2C39000002zYt8EAE,012390000009qIDAAY,The Lemelson Foundation
"Low-cost, Automated Diagnostics for Tropical Diseases",50000,"Low-cost, Automated Diagnostics for Tropical Diseases",North Carolina State University at Raleigh, ,2008-10-06,2008-10-16, , ,"Globally, millions of people die or are disabled from curable diseases like tuberculosis and malaria every year. For example, malaria alone kills over 1 million, mostly children, worldwide and costs an estimated $12 billion in lost productivity for Sub-Saharan Africa. While effective treatments exist, their delivery to those who need them is complicated by a lack of similarly effective diagnostics. Through North Carolina State University's Engineering Entrepreneurs Program, a multidisciplinary student team aims to solve this problem by developing a rapid, simple-to-use platform to detect malaria and tuberculosis in rural developing world settings. The successful development of this technology could improve both the health and economic situation for afflicted communities. Currently, a successful proof-of-concept has been built and is based around image cytometry, fluorescence measurement, and digital processing technology. Objectives for the project include:        Finalize a prototype for use in a clinical trial and test it in the field;     Develop a robust business plan to ensure the sustainability of the project;     Explore partnerships with local organizations that can provide sales, manufacturing, and repair services to ease market entry.      Over the duration of the grant, the team will mature and validate the technology. Ultimately, the grant enables a strong commercial position from which to leverage additional funding to begin manufacturing and marketing our technology. The team can then continue to improve the technology and develop tests that could be performed on the same platform to diagnose other diseases.",1005902,Invited Resubmit,5902-08,0017000001LSWA4AAP,a2C39000002zYt8EAE,012390000009qIDAAY,The Lemelson Foundation
Sprial Development of an Exponentially Expanding Rural Lighting Business Model,50000,Sprial Development of an Exponentially Expanding Rural Lighting Business Model,University of Maryland-College Park, ,2008-10-07,2008-10-16, , ,"The objective of the proposed work is to demonstrate a social business model that establishes solar PV-based local battery charging centers in rural areas so high quality home lighting can be provided to an exponentially growing number of rural households at a cost  comparable to kerosene lamp use. A social business will be formed with the aim of maximizing the availability households. This business will supply individuals and/or village coops (hereafter referred to as  charging centers ) with solar panels and associated equipment to charge batteries locally. A licensing fee will be collected monthly and used to purchase equipment to set up additional charging centers that will serve an exponentially growing number of households. The consumer is expected to purchase the battery, but the costs for charging a battery and its replacement will be similar to the amount spent on kerosene over the expected battery life of two years.  Modeling of the business has indicated that the proposed concept is financially sustainable after the initial investment. It is quite possible that an initial investment of 42 panels serving 294 households could result in about 183 panels serving 1281 households at the end of 10 years, at costs that are comparable to the cost of fuel for kerosene lamps. It is proposed to apply spiral development concepts to the business every three to six months to modify the model as needed to maximize its effectiveness.        ",1005904,Invited Resubmit,5904-08,0017000001LSVusAAH,a2C39000002zYt8EAE,012390000009qIDAAY,The Lemelson Foundation
Engineering and Entrepreneurship Training for Health and Sustainable Development in Lesotho,50000,Engineering and Entrepreneurship Training for Health and Sustainable Development in Lesotho,Rice University, ,2008-10-07,2008-10-17, , ,"Lesotho has an unemployment rate of over 25%, and a recent report found that all public medical centers have poor facilities.  Specifically, Lesotho lacks incubators to warm babies.  Almost 4 million babies die annually within their first month of life; an incubator providing adequate warmth can help to prevent these deaths.            Economic self-sufficiency and good health are interrelated; both are necessary to promote sustainable development in poor settings. Rice undergraduates will design and implement a program in Lesotho to train students and community members in innovating, building and distributing low-cost health tools.        Rice s proposed program has three main objectives:         Develop a curriculum for secondary students and community members in Lesotho that gives participants training in innovating, building, and selling low-cost health tools for Lesotho;       Teach the curriculum in a four-week workshop in Lesotho that trains students and community members to build low-cost incubators and phototherapy lights to treat neonatal jaundice, and to develop a cooperative business plan to sell these products; and       Ensure sustainability of the training program and the business by partnering with NGOs, community and business leaders, and government agencies, to replicate the program throughout the region, and to provide appropriate business development support to the cooperative business.         ",1005909,Invited Resubmit,5909-08,0017000001LSW8HAAX,a2C39000002zYt8EAE,012390000009qIDAAY,The Lemelson Foundation
Bananas and Cabanas for Rwandan Mamas,50000,Bananas and Cabanas for Rwandan Mamas,Syracuse University, ,2008-10-08,2008-10-17, , ,"1. To provide free housing to widows of genocide in Rwanda.   Among the hardest hit by the 1994 Rwandan genocide are the low-income women. Many of them are victims of sexual violence, living with sexually-transmitted diseases including HIV/AIDS, and are homeless. The government has been implementing  villagezation , an ambitious plan to house all Rwandans in planned villages, while neglecting the needs of the poorest. A Rwandan widows  NGO, Seruka, has been building a village of their own. We hope to work with them to create a prototype for housing for the Rwandan poor.   2. To collaborate with the widows  NGO in Rwanda and the universities in Rwanda and the U.S. in order to design durable, cost effective and sustainable building materials and construction methods.   Low-income houses are built with vulnerable mud bricks. By amalgamating the women s local understanding, Rwandan students  intellect, and the U.S. academia s global comparative knowledge, we believe that innovative community construction is possible.   3. To help create a construction business for the Rwandan widows  NGO by commercializing the building materials and technique.   After designing a village and learning the building skills, the Rwandan widows will be able to build their own homes as well as to offer the service commercially. It was women who rebuilt Rwanda after the genocide. They are perfectly fit to take on the construction task.   ",1005910,Not Accepted,5910-08,0017000001LSW8hAAH,a2C39000002zYt8EAE,012390000009qIDAAY,The Lemelson Foundation
Reconfigurable Utility Vehicle for the Developing World Powered by Renewable Fuel,50000,Reconfigurable Utility Vehicle for the Developing World Powered by Renewable Fuel,University of Alabama at Birmingham, ,2008-10-08,2008-10-17, , ,"Part of this project a utility vehicle will be designed and built, consisting of several modules that can be reconfigured for different purposes (transport, tilling, mowing, water pumping, electricity generation etc.).  The utility vehicle will be powered using renewable fuels.  Two different engines will be tested in connection with this vehicle; one will be a diesel engine modified to run on vegetable oils, and the other will be a spark-ignition engine adapted to run on wood gas or compressed biogas.  These concepts will be introduced to the Institute for Affordable Transportation (IAT) by participating in one of the upcoming Basic Utility Vehicle (BUV) Competitions (www.drivebuv.org).  If proving feasible, IAT will coordinate the manufacturing of the proposed utility vehicle, in one of its micro-factories - IAT already produces small runs of three-wheel transporters for the developing world, and has been instrumental in establishing BUV factories in Honduras and South Africa.  The proposed reconfigurable design will be patented, and if interest exists, will be licensed to companies specialized in agricultural equipment.  In terms of educational impact, the proposed work will provide material and examples for hands-on classes in Renewable Energy, Vehicle Design and Capstone Design Project taught in the School of Engineering at the University of Alabama at Birmingham.",1005911,Not Accepted,5911-08,0017000001LSVtcAAH,a2C39000002zYt8EAE,012390000009qIDAAY,The Lemelson Foundation
"Design and Development of a Modular, Low Cost, Vertical Axis Wind Turbine for Generating Shaft Power for Developing Nations",49350,"Design and Development of a Modular, Low Cost, Vertical Axis Wind Turbine for Generating Shaft Power for Developing Nations",University of Massachusetts-Lowell, ,2008-10-08,2008-10-20, , ,"Our international research team proposes to design and prototype a simple, modular, portable (8ft high x 6 ft diameter), low-cost (less than $200 USD), 200W vertical axis wind turbine (VAWT) that can be used to generate shaft power for a collection of interchangeable modular devices (potable water condensers, water pumps, electric generators, clean stoves/heating elements, mills, compressors, condensers etc).  Building on our research experience in aerodynamics, we aim to simplify the VAWT design to several modular components that can easily be manufactured, constructed and deployed in developing nations. The specific objectives of the proposed project are:      1. To use state-of-the-art computational tools (aerodynamics, aero-elastic tailoring and dynamics simulators) as well as experimental methods (wind tunnel models) to design and prototype an efficient, robust, low-cost vertical axis wind turbine unit to generate shaft power.       2. Have undergraduate engineering students, as part of capstone projects design and prototype shaft-power devices to directly generate business opportunities for the end user (water condensers, water pumps, air compressors, electric generators, etc.). The constraints of reliability, efficiency, simplicity and extreme environments will present relevant hands-on service learning design projects to engineering students (at MIT and UML).        3. Examine, develop and test a business model for subsidized deployment of these devices in Sub-Saharan Africa. The model will include cost subsidies for developing nations based on unit sales of systems that generate electricity and condense water. Since the wind turbine is modular, end user applications can be tailored to target community needs and user supported development.",1005912,Not Accepted,5912-08,0017000001LSW2YAAX,a2C39000002zYt8EAE,012390000009qIDAAY,The Lemelson Foundation
"Clean Water and Energy Technology Enterprises for Ifugao, Philippines",50000,"Clean Water and Energy Technology Enterprises for Ifugao, Philippines",Villanova University,49000,2008-10-09,2008-10-17,2011-06-30,2009-03-01,"The aim of the proposed project is for Villanova engineering and business students to partner with the Save the Ifugao Rice Terraces Movement Organization (SITMo) and the Provincial Governor s Office of Ifugao to develop new technology-based enterprises for providing clean water and energy in the Ifugao region of the Philippines. An orientation program will be established to prepare for a site visit to explore potential opportunities.  Following the site visit, the students will develop new technologies based primarily on innovative micro-hydroelectric projects, and explore potential business models for the technology transfer. The students will then return to the Philippines to work with our partners to develop sustainable enterprises based on these new technologies.",1005916,Funded,5916-08,0017000001LSWASAA5,a2C39000002zYt8EAE,012390000009qIDAAY,The Lemelson Foundation
Reduced Fuel Usage through Improved Cooking Pots,49804,Reduced Fuel Usage through Improved Cooking Pots,Ohio State University-Main Campus, ,2008-10-09,2008-10-24, , ,"For people in the developing world an enormous amount of time, money, and energy is spent obtaining fuel for cooking.  Harvesting of wood and charcoal for cooking leads to severe deforestation in some places.  Industrial fuels such as propane or alcohol are available to some, but at great expense.  The key to reduced fuel usage is the heat transfer efficiency to the pot, and recent studies have shown that it is possible to double the heat transfer efficiency (Reference my work available on the internet???).  High efficiency pots are being made commercially for campers and backpackers that double the heat transfer, but these pots are too small and expensive (cost is about $50) for use in developing world situations.      The goal of this project would be to develop one or more designs for inexpensive pots that would at least double the heat transfer efficiency under typical cooking conditions.  The pot would be able to be made commercially at a reasonable cost, perhaps $5 more than an ordinary pot.        Specific objectives might be:      1. Develop a prototype pot to be built as a factory-made unit that at least doubles the heat transfer efficiency.      2. Develop a prototype retrofit assembly that could be added to an existing pot that would at least double the heat transfer efficiency.        3. Test these designs on a number of actual stoves, and measure the efficiency, and fuel usage under a range of conditions typical of actual cooking situations.                    ",1005917,Not Accepted,5917-08,0017000001MBMQFAA5,a2C39000002zYt8EAE,012390000009qIDAAY,The Lemelson Foundation
