NAME,AMOUNT_REQUESTED__C,PROPOSAL_NAME_LONG_VERSION__C,APPLYING_INSTITUTION_NAME__C,AWARD_AMOUNT__C,DATE_CREATED__C,DATE_SUBMITTED__C,GRANT_PERIOD_END__C,GRANT_PERIOD_START__C,PROJECT_DESCRIPTION_PROPOSAL_ABSTRACT__C,ZENN_ID__C,STATUS__C,EXTERNAL_PROPOSAL_ID__C,APPLYING_INSTITUTION__C,PROGRAM_COHORT__C,RECORDTYPEID,PROPOSAL_FUNDER__C
BioSolar Entrepreneurship: Environmental and Social Sustainability as Mutual Bootstrapping,49976,BioSolar Entrepreneurship: Environmental and Social Sustainability as Mutual Bootstrapping,Rensselaer Polytechnic Institute,34663,2010-10-14,2010-10-15,2014-04-30,2011-04-01,"The phrase  bootstrap  is often used to describe how entrepreneurial activity can allow the poor to lift themselves out of poverty. In this study we examine how environmentally sustainable activity and poverty relief can leverage each other ( mutual bootstrapping ). Our summer 2010 collaboration between KNUST (Kumasi Ghana) and RPI (Troy, NY) explored pyrolytic biomass conversion as a way to eliminate problems associated with agricultural waste (smog, wildfires, disposal problems) and achieve energy generation. Our initial exploration found that biomass feedstock choice could be a critical factor in the social impact: some of the highest yield feedstocks (eg residue from palm oil production) were owned by some of the wealthiest farmers, suggesting that there would be little poverty relief. However we succeeded in finding a feedstock with both high potential energy yield and high social impact: corn cobs. The biochar left over after the pyrolysis can be used in soil enhancement. Our initial tests indicate that solar heating could greatly enhance the pyrolysis efficiency. This proposal, if funded, will design and test prototypes which could be used by poor farmers in Ghana for both increased environmental sustainability and increased entrepreneurial activity. Our 3 top objectives:     Develop an inexpensive solar pyrolysis system, thus increasing its efficiency.     Use iterative refinement and field tests with low-income farmers to ensure market viability.     Train Ghanaian students in entrepreneurship and facilitate their development of a startup company for manufacturing and marketing the solar pyrolysis system.   ",1008070,Funded,8070-10,0017000001LSW81AAH,a2C39000002zYt9EAE,01239000000Ap02AAC,The Lemelson Foundation
Identification of a Sustainable Model for the Production and Distributution of Cassava Flour and Starch,49718,Identification of a Sustainable Model for the Production and Distributution of Cassava Flour and Starch,"University of St Thomas (Saint Paul, Minnesota)", ,2010-09-14,2010-10-18, , ,"Abundant, yet underutilized, cassava is a major source of carbohydrates for over 500 million people throughout the tropics. Cassava is processed into many products for industrial use and dried and ground, its gluten-free flour is added to many food products globally. A significant increase in cassava flour and starch production can improve food security, develop sustainable agriculture and improve local economies. Small enterprise flour production would be an innovation which would benefit farmers and local producers because large amounts of lesser quality cassava rots unused. Three organizations propose to collaborate with Nicaraguan communities to introduce robust manual post-harvesting equipment with a locally appropriate business model and production scale. University of St. Thomas students in geography, business and engineering will work together with members of Compatible Technology International, a St. Paul, MN non-profit dedicated to improve post-harvest productivity in small-scale rural processing, and with Opportunity International, an Oak Brook, IL non-profit and micro-lender with operations in Nicaragua that seeks to promote cassava-based micro-enterprises, to offset the current 70% post-harvest losses. Teams will plan to scale and disseminate the basic technology for non-cereal flour production by using:       Geography students to map the cassava capacity.        Business students to map current Nicaraguan value chain and market pricing, establish target retail price points and develop a community-based business model.       Engineering students to examine optimal processing alternatives and develop, improve and test cassava processing equipment.       Non-profit personnel to conduct consumer tests of new cassava-flour food formulations, packaging and commercialization alternatives.   ",1007857,Invited Resubmit,7857-10,0017000001MBMGHAA5,a2C39000002zYt9EAE,01239000000Ap02AAC,The Lemelson Foundation
Sustainable Harvest RITS Metrics,49949,Sustainable Harvest RITS Metrics,Portland State University, ,2010-09-22,2010-10-15, , ,"Recent studies have demonstrated that growth in agriculture may be up to four times more effective at alleviating poverty than growth in other areas of developing economies.  The approximately 25 million smallholder coffee farmers around the world face a host of challenges to maintaining their families  livelihoods and competing in the coffee trade. To address such problems, Sustainable Harvest, with support from Portland State University s Social Innovation Incubator, is developing an innovative and groundbreaking needs and impact assessment tool, RITS Metrics, to be used to track social, environmental, economic, governance, and operations metrics.        RITS Metrics will:       *Increase farmer incomes by making the certification process more efficient. Coffee sold under Fair Trade and organic certification labels earns an average price 15-40% higher than conventional coffee. RITS Metrics will dramatically decrease the amount of time needed to collect, store, and report on data required for fair trade and organic certification, making these certifications more accessible and enabling individual farmers to earn higher wages.       *Improve effectiveness of agricultural development programs for economic development, environmental and human health, and education. RITS Metrics offers unprecedented usability and tracking of social and environmental indicators. Farmers and the social sector organizations that support them will be able to better target smallholder farmer needs and increase their programs  social, economic and environmental impacts.      Customers include coffee cooperatives, roasters and a variety of development organizations. RITS Metrics can be used for other agricultural products such as cacao, spices and tea, impacting a broad spectrum of smallholder farmers worldwide.",1007876,Invited Resubmit,7876-10,0017000001LSVpUAAX,a2C39000002zYt9EAE,01239000000Ap02AAC,The Lemelson Foundation
WishVast: Building Trust and Social Capital using Cellphones,50000,WishVast: Building Trust and Social Capital using Cellphones,Pennsylvania State University-Main Campus, ,2010-09-25,2010-10-18, , ,"Tools like Facebook and LinkedIn have demonstrated that virtual social networks can create unique economic opportunities. In developing communities, individuals tend to do business with members of a geographically bound social network in part because isolation limits their options. WishVast is a cellphone-based system that allows individuals to interact with a larger and geographically dispersed social network   and as a result it enables traditionally isolated individuals to connect, communicate and coordinate with a large number of clients. Like Ebay, WishVast monitors member s business practices by supporting the awarding of points by both members in the business exchange. Over time, these points add up and create a cumulative business trustworthiness score. Our team has spent four years understanding the intricacies and practicalities of leveraging social networks for economic value in developing communities. We have identified, researched (published) and validated four application scenarios, and field-tested WishVast for one scenario   connecting jobseekers to employers with ad-hoc jobs in central Kenya.      With the support of this grant we propose to:      1. Migrate the WishVast system from a text messaging platform to a web-based platform with extensions for text messaging. The business model and the telecom companies  business strategies necessitate this technological shift.      2. Field-test the WishVast system with the facilitation of ad-hoc jobs in Kenya and with community-based tourism services in South Africa and refine the system based on lessons learned.      3. Collaborate with cellphone companies, entrepreneurs, NGOs and government agencies to identify the best revenue model and organization to commercialize WishVast.",1007893,Invited Resubmit,7893-10,0017000001MBMSkAAP,a2C39000002zYt9EAE,01239000000Ap02AAC,The Lemelson Foundation
Sustainable Vision Care Services for the Developing World,50000,Sustainable Vision Care Services for the Developing World,Bucknell University, ,2010-09-27,2010-10-21, , ,"Close to one billion people in the world need corrective lenses and yet can t afford them. Most of these people have limited access to optometrists and ophthalmologists, and those eye care professionals who are available locally have few resources. NGOs and other organizations have attempted to address this problem, but their methods have not been sustainable. We are proposing a potentially global solution to the problem using a new, simplified eyewear design and a business model that will enable local people to provide services to their community members.       Project Objectives:     Develop a new frame design and set of lenses that can be manufactured inexpensively in the developing world utilizing local labor. This new design will cost $2 or less, enabling a price point affordable by nearly everyone.     Develop a business model focusing on the local community, comprising manufacturing, marketing, distribution, and service after the sale (including repair). The project team will involve local people significantly in every phase of the project to assure its appropriateness for local conditions.     Implement the eyewear design and business model at one location in the developing world. The project team will educate and train local people to take over the process in its entirety, and locally available materials will be used whenever possible, thereby having positive social, economic, and environmental impacts.     Pursue similar projects in other developing areas.   ",1007902,Invited Resubmit,7902-10,0017000001LSVrxAAH,a2C39000002zYt9EAE,01239000000Ap02AAC,The Lemelson Foundation
Development of Energy Efficient Biomedical Devices to Improve Maternal and Newborn Infant Health Care in Developing Countries,50000,Development of Energy Efficient Biomedical Devices to Improve Maternal and Newborn Infant Health Care in Developing Countries,Villanova University, ,2010-09-29,2010-10-17, , ,We plan to design and develop a suite of energy-efficient 12VDC medical devices to enhance obstetric and neonatal care in developing countries. This essential medical equipment will be powered by an existing portable solar electric kit. We will first develop a portable oxygen generator to aid in neonatal resuscitation and a suction machine that will extract fluids from newborn and maternal airways and improve surgical care.   ,1007921,Invited Resubmit,7921-10,0017000001LSWASAA5,a2C39000002zYt9EAE,01239000000Ap02AAC,The Lemelson Foundation
GeoHealth,25000,GeoHealth,Case Western Reserve University, ,2010-10-02,2010-10-19, , ,"Every single day, people in the developing world are given harmful or unnecessary treatments and inefficient preventative interventions due to the lack of patient records. These problems do not stem from the  unalterable  affects of poverty, but rather errors in the management of healthcare information technology and issues in patient identification.  These are issues that can and will be addressed by our new system, GeoHealth.  GeoHealth is a novel system that allows physicians to accurately identify patients using biometrics and then synchronize patients  medical records with their home GPS coordinates.  The innovation is a thorough a novel implementation strategy, mobile enrollment technology, simplified software and a website service developed by a motivated team of key engineers, epidemiologists, and international health advocates.  In the future, this system would allow for increased resolution on disease and population mapping, which will increase the efficiency of healthcare and allow for more rapid identification and intervention of disease outbreak.      Objectives        Develop software system and implementation strategy     Prove validity of mobile-based EMR enrollment     Form relationships with key contacts for development of system",1007938,Invited Resubmit,7938-10,0017000001LSVoMAAX,a2C39000002zYt9EAE,01239000000Ap02AAC,The Lemelson Foundation
International Senior Design: Building Assistive Devices for Handicapped Children in India,49998,International Senior Design: Building Assistive Devices for Handicapped Children in India,Michigan Technological University, ,2010-10-04,2010-10-14, , ,"Approximately two thirds of the population in India lives in poverty.  Due to living conditions through the country the incidences of polio, cerebral palsy, and other spastic conditions remains high in low to no income families in India.  The poverty stricken and handicapped in India do not have the engineering expertise to create low-cost assistive devices. Thus, we have assembled a team of people to design a low-cost, simple to build assistive devices whereby those low income handicap can help themselves. The first year will focus on gait assist devices for children. As their Senior Capstone Design Project, teams of engineering and business students at Michigan Technological University (MTU) will design and build a low-cost assistive device that meets the needs of Indian culture. The students will travel to India to deliver the devices and develop ideas for the next year of MTU students.       The device must be low-cost and simple enough to build such that local Indian workers can build the device at a lower cost than what they are currently doing with the proceeds ultimately assisting the engineering and business students from Michigan Tech either directly or indirectly by hospitality during the annual trip or via direct funding. The overall goals of the program are to 1) Provide MTU students with a global design challenge and international experience, 2) Create a non-profit organization whereby merging the technical knowledge of MTU engineering and business students with the poverty/handicapped Indian workforce to build devices that will benefit those in poverty.   ",1007942,Invited Resubmit,7942-10,0017000001LSVnYAAX,a2C39000002zYt9EAE,01239000000Ap02AAC,The Lemelson Foundation
Injerama: Social Entrepreneurship for Sustainable Development in Ethiopia,50000,Injerama: Social Entrepreneurship for Sustainable Development in Ethiopia,Pennsylvania State University-Main Campus, ,2010-10-05,2010-10-15, , ,"Injerama is conceived as a public-private partnership to address the Millennium Development Goals in Ethiopia through social entrepreneurship. Agriculture is the most important sector of Ethiopia s economy, but while Ethiopia has given agriculture top priority it remains one of the ten most impoverished nations, with much of the population food insecure. Injera, a spongy sourdough flat bread made from t ef  is the staple of every Ethiopian meal and cooked over an open fire, which has resulted in severe deforestation and poor respiratory health. This project addresses environmental sustainability and the health of women and children by eliminating the need to use wood for fuel to cook injera. Injera production will be commercialized using sustainable energy sources. The cost of injera will be reduced while the nutritional quality will be improved through product formulation and scaled production. A 2010 IFPRI report calls for meeting the first Millennium Development Goal  Through Business as Unusual,  a model that calls for greater involvement of the private sector for sustainable development. The key partners are Penn State University, Addis Ababa University, African Climate Exchange and Organization for Rehabilitation and Development in Amhara. The project will reduce poverty through employment in manufacturing and distribution. Proposal objectives:     Develop and initiate a course in Food Product and Process Design for African Markets at PSU     Complete design and scale-up of prototype injera-making machine     Develop/adapt software to least cost formulate nutritionally enhanced injera from grains locally available in Ethiopia.   ",1007957,Invited Resubmit,7957-10,0017000001MBMSkAAP,a2C39000002zYt9EAE,01239000000Ap02AAC,The Lemelson Foundation
Gate: Global Accelerator for Technology Entrepreneruship,50000,Gate: Global Accelerator for Technology Entrepreneruship,Boston University, ,2010-10-08,2010-10-14, , ,"Gate: Global Accelerator for Technology Entrepreneurship       US universities have a treasure trove of IP that is being effectively licensed in the developed world but little of this IP is directed toward need in emerging markets as Technology Transfer operations in US universities do not have sufficient incentive or resources to find licensees for their inventions in the emerging world. Meanwhile the emerging world could benefit from these inventions if matched with the right local entrepreneurs and local and global venture capital.      GATE is a Boston-area student driven, multidisciplinary ad hoc initiative centered at Boston University serving the most pressing unmet social needs in emerging markets.  Its mission is to accelerate the deployment of breakthrough-innovations found in university translational research programs in life-science, ener-tech and IT/telecom through a global innovation network of industry, government, NGO & academic partners and in-country new venture capacity building programs.        Jointly supported by BU's Office of Technology Development (OTD) and the Institute for Technology Entrepreneurship and Commercialization (ITEC), the GATE program focuses  building collaboration with in-country partners to:      1. Accelerate the transfer of university IP into emerging markets, initially focused on but not limited to medical devices and diagnostics;      2. Create sustainable new in-country ventures focused on technology commercialization, production and delivery;      3. Support entrepreneurship eco-system development & capacity building to ensure both scalability and long-term, market driven sustainability of new ventures.       ",1007983,Invited Resubmit,7983-10,0017000001LSVFGAA5,a2C39000002zYt9EAE,01239000000Ap02AAC,The Lemelson Foundation
Accessible and Sustainable Bio-Fuel Engine Technology for the Underdeveloped World,49991,Accessible and Sustainable Bio-Fuel Engine Technology for the Underdeveloped World,Arizona State University at the Polytechnic Campus, ,2010-10-09,2010-10-15, , ,"The objective of this research effort is to develop a low cost lightweight, very efficient, sustainable and durable bio fuel engine using the breakthrough Hypocycloid Mechanism (patent # US 6,510,831,B2).  This research has the potential to revolutionize today's Internal Combustion Engines, but this project will especially benefit people living at the Base of the economic Pyramid (BoP).  For example, the engine can run a generator to provide electricity to an entire village, where villagers can use Waste Vegetable Oil or locally produced bio-fuels to run the engine.  The vision is to empower people by developing accessible technology that they can afford and that will allow them to manufacture fuel from their own crops, and then use the fuel to produce power for many purposes including irrigation, power equipment, and electrical generation.  Finally, the engine resulting from this research has the potential to double the efficiency of traditional designs, and will use fuel at only one-half of the rate required by conventional engines for the same power output.           ",1007988,Invited Resubmit,7988-10,0017000001LSVtoAAH,a2C39000002zYt9EAE,01239000000Ap02AAC,The Lemelson Foundation
