NAME,AMOUNT_REQUESTED__C,PROPOSAL_NAME_LONG_VERSION__C,APPLYING_INSTITUTION_NAME__C,AWARD_AMOUNT__C,DATE_CREATED__C,DATE_SUBMITTED__C,GRANT_PERIOD_END__C,GRANT_PERIOD_START__C,PROGRAM_COHORT_RECORD_TYPE__C,PROJECT_DESCRIPTION_PROPOSAL_ABSTRACT__C,ZENN_ID__C,STATUS__C,EXTERNAL_PROPOSAL_ID__C,PROGRAM_COHORT__C,ID
"""Social Problem-based Entrepreneurship"" Class",40500,"""Social Problem-based Entrepreneurship"" Class",New York University,NA,10/9/13,11/1/13,NA,NA,Sustainable Vision,"The class Social Problem-based Entrepreneurship at the NYU Leonard N. Stern School of Business was designed to put the idea of teaching social entrepreneurship to its ultimate testwith the objective of incubating a series of innovation-driven social ventures that tackle problems in domains such as health care, agriculture, water, education and energy.  The class was launched in 2011 and has already helped incubate a number of on-going social ventures in nutrition, education, sustainable textiles and sanitation.  In fact, the winners of both the 2012 and 2013 NYU Stern Social Venture Competition were incubated in this class.

Before the semester begins, start-up teams of three to four students each are formed.  Each team consists of students with diverse backgrounds, and the 2014 class will be the most diverse so far, with students from the business, public administration, medical, engineering and film schools. As a result, the teams are able to work through problems from a creative, technical, policy as well as business point of view more effectively than if they were all from the same background.  The class spends three weeks in India in January, before the semester begins, doing field work on the social problem of their interest.

Our hope is that with this grant, student teams will be able to access a small, but meaningful amount of start-up capital primarily for materials and supplies in order to built prototypes of the solutions they are proposing.
",1011012,Not Accepted,11012-13,a2C39000002zYt4EAE,0017000001LSW0JAAX
3D Computer Graphics Rwanda to Silicon Valley,49520,3D Computer Graphics Rwanda to Silicon Valley,Cogswell Polytechnical College,NA,10/17/13,11/12/13,NA,NA,Sustainable Vision,"Cogswell Polytechnical College is embarking on a series of collaborative distance learning projects that embrace symmetrical video services.  Students will participate in class, demonstrate their work and showcase their accomplishments using cloud-based video conferencing services.  The projects will enable remote classrooms to share class time synchronously and for students to access archived sessions as needed.  The series is based on the methods developed by NASA Ames researcher Kenji Kato and the ADMA (Africa Digital Media Academy) in Rwanda.  Initial offerings will be abbreviated 6-10 week courses on Introduction to 3D Computer Graphics, HTML5 programming, and the Kauffman FASTRAC New Venture entrepreneurship program.  This series of courses is designed to introduce students to the tools of a trade (3D design), the knowledge  to present it in a global economy (HTML5), and the resources to build their own business (Entrepreneurship).

By piloting the program with students in Rwanda, Cogswell will investigate a ""make""-oriented process online.  Students will create a portfolio of work for assessment and will demonstrate their projects upon course completion.  Grant funds will be used to coordinate and monitor class locations with trained faculty.  We will develop assessment methods that enable us to integrate remote students into mainstream courses and to test for rigor and learning outcomes.  Ultimately, the entrepreneurial outcomes from the courses will be tracked and provide a blueprint for growing the program with other student populations in other regions.",1011025,Not Accepted,11025-13,a2C39000002zYt4EAE,NA
Frugal Innovation,50000,Frugal Innovation,Suffolk University,NA,10/23/13,11/8/13,NA,NA,Sustainable Vision,"The objective of our Frugal Innovation proposal is to develop products and technologies that will help the over four billion people living at the bottom of the pyramid, and earning less than $2 a day, to improve and upgrade their lives.

We aim to focus on improving the well-being, appearance and overall attitude and outlook for these people so that they can enrich their lives at a nominal cost.  This applies particularly to women. Looking good is particularly important for women because their appearance can improve their family situation, domestic life, self-esteem and overall quality of life.

The project that we are proposing is to introduce low cost cosmetics made from recycled ingredients and packaging to this segment of the market. Our aim will be to collect unused or partially used cosmetics and rework them into low cost health/beauty and cosmetic products for women at the bottom of the pyramid using the concept of frugal innovation.
",1011046,Not Accepted,11046-13,a2C39000002zYt4EAE,0017000001LSVsMAAX
Planning Grant: Biomaterials for the Developing World,10000,Planning Grant: Biomaterials for the Developing World,Duke University,NA,10/24/13,11/8/13,NA,NA,Sustainable Vision,"At Makerere University (MU) I will teach a course similar to the one that I have for 20 years at Duke, except I will focus the course content on the needs of East Africa. In addition to covering basic biomaterials science and engineering in a readings-lecture-exam format, I will divide the class into teams of MU students that will be charged with (1) identifying a critical human health need in Uganda that can be treated with a biomaterial implant and/or biomedical device, (2) studying the unique design, fabrication, packaging, and implementation constraints of the biomaterial and/or biomedical device, (3) devising a feasible manufacturing and deployment strategy, and (4) proposing a workable business plan.  MU design teams that propose the most promising projects will be invited to enroll in the proposed design course entitled Biomaterials and Biomedical Devices for the Developing World to be taught during the of spring 2015 simultaneously at Duke at MU.  Each design team will be comprised of Duke and MU BME students that will use Internet-based communication technology to further develop their project within the NCIIA E-Team format.",1011050,Not Accepted,11050-13,a2C39000002zYt4EAE,0017000001LSVnxAAH
Simple Limb Initiative,50000,Simple Limb Initiative,San Jose State University,NA,10/29/13,11/7/13,NA,NA,Sustainable Vision,"This proposal is for an expanded undergraduate course that will engage multidisciplinary teams of students in learning and solving problems addressing the social, emotional, and physical need for affordable prosthesis in countries throughout the world. End users of the designed products will include children and adults who have been the victims of war (land mines), violence, disaster (earthquake, flood, etc.), or disease (diabetes). This is a growing need, with an estimated global amputee population that is between .05-.08 percent of the world population (350-560M) (WHO), and increasing. Additionally, the number of trained technicians for building and fitting the few prosthesis models available is insufficient and is estimated to take up to 50 years to train the number of technicians needed even for today. Students will learn how to understand a culture and its capabilities, design and develop affordable prosthesis (arm and leg) for children and adults, and place the prosthesis products into the market for feedback and testing loops. The product and delivery solutions must: be fabricated and assembled by an unskilled person; be produced for less than $30USD; be placed in an Open Source online market; source and use local materials to the region; use digital 3D manufacturing technologies to enhance design functionality of critical parts of the prosthesis; use new materials being developed for 3D rapid prototyping; and collaborate with internal and external partners in order to engage in a product development feedback loop.",1011062,Not Accepted,11062-13,a2C39000002zYt4EAE,0017000001LSVznAAH
Promoting Prototype and Manufacturing Opportunities for Young Technical Entrepreneurs in West Virginia,41571,Promoting Prototype and Manufacturing Opportunities for Young Technical Entrepreneurs in West Virginia,West Virginia University,NA,10/31/13,11/19/13,NA,NA,Sustainable Vision,"The Division of Resource Management at the Davis College of Agriculture, Natural Resources & Design at West Virginia University is currently in the process of maturing a new curriculum, a bachelors degree in Energy and Environmental Management. This program known as E*Quad, with the four major components of the curriculum being energy, the environment, economics and, most importantly, for the purposes of this document, entrepreneurship, will be offered university-wide. One of the important areas of focus of the program was initially funded with a generous grant of $188,000.00 from the Benedum Foundation. This area, a start-up competition known as the West Virginia Technology Entrepreneurship Challenge (WV-TEC) focuses on STEM technology and creating innovations that can provide employment and reduce poverty in the Appalachian Region. In the process of administering the first start-up challenge, two gaps in students services were identified: the lack of intellectual property protection services for student innovators and a lack of funding for building prototypes. In response to the first gap, the undersigned in cooperation with the WVU Law School and the Statler College of Engineering and Mineral Resources submitted and received a second grant intended to establish an intellectual property clinic at the WVU Law School Entrepreneurship Clinic. It is the second gap that this grant request is intended to address  the lack of funding for securing manufacturing and prototyping services and solidifying a program that can support itself and innovations that serve the Appalachian region to alleviating poverty.",1011084,Not Accepted,11084-13,a2C39000002zYt4EAE,0017000001LSVrlAAH
Sustainable Transport for Vietnam enabled through UTK-RMIT Educational Partnerships in Entrepreneurship and Engineering,50000,Sustainable Transport for Vietnam enabled through UTK-RMIT Educational Partnerships in Entrepreneurship and Engineering,"University of Tennessee, Knoxville",NA,11/1/13,11/11/13,NA,NA,Sustainable Vision,"This proposal supports the creation of a course on International Research and Design in Transportation Engineering at the University of Tennessee (UTK), which is focused on sustainable transportation in Asia. Initially, the course will consider the introduction of electric scooters (e-scooters) through a unique sharing concept. E-scooters, while typically considered expensive and not widely accessible in Vietnam, have the potential to capture market share from the alternative motorbikes increasing accessibility to the mode and providing environmental benefits in terms of air quality when provided in a sharing concept. The UTK course will allow civil engineering and business students to interact with faculty and staff at UTK, business and marketing students and faculty at Royal Melbourne Institute of Technology (RMIT) in Vietnam, and industry leaders with expertise in electric scooters and sharing technologies to form an E-team. The E-team will design and implement a pilot system for medium to long-term sharing of e-scooters in Vietnam. The pilot system will serve as a basis for studying the feasibility and potential market share for a short-term stationless e-scooter sharing service in Vietnam.  Project outcomes include the design of a unique sharing platform for e-scooters, a small pilot system using medium to long-term rentals to gather supporting information for the short-term sharing design, a business plan for implementing, operating, and commercializing the system (both the pilot and full sharing platform) beyond the pilot project. The project will support a sustainable and replicable business model to provide affordable access to e-scooters in Vietnam and elsewhere.",1011087,Not Accepted,11087-13,a2C39000002zYt4EAE,NA
An Affordable Hybrid Ultrasound-Optical Imaging Device for Non-invasive Early Detection of Oral Cancer,48464,An Affordable Hybrid Ultrasound-Optical Imaging Device for Non-invasive Early Detection of Oral Cancer,University of Illinois at Urbana-Champaign,NA,11/2/13,11/7/13,NA,NA,Sustainable Vision,"According to the World Health Organization (WHO), as of 2010, globally >100,000 people died of oral cancer up from 82,000 in 1990. In developing countries, the overall survival rates are poor since it is typically diagnosed at an advanced stage requiring more aggressive management. Thus, early diagnosis is critical and a sensitive non-invasive technique that can help identify biochemical changes associated with oral cancer is the unmet need and therefore the focus of this proposal.  The major thrust of this work will be to: i) initiate a novel interdisciplinary area of cancer research, directed to address an urgent need to reduce oral cancer mortality and morbidity; ii) develop a student team to create and eventually commercialize technologies to sustain an extracurricular program.
A low-cost novel hybrid imaging technique is proposed that will combine the merit of both ultrasound and optical imaging to enable direct visualization and digital image acquisition of nascent angiogenic vessels and to implement the device in low-resource settings. The capability of this device will be complimented by the use of a novel water soluble integrin specific macromolecular probe for contrast-enhanced targeted imaging of angiogenic expression in oral cancer lesions. A multidisciplinary student E-team has been assembled to develop and commercialize technologies that will directly benefit people living in poverty. The project is also uniquely tailored to meet the requirement for extracurricular research activities for students at the UIUC with an objective to help pursue study in Medical Device Design in Imaging-Sensing tracks.",1011091,Not Accepted,11091-13,a2C39000002zYt4EAE,0017000001LSW31AAH
Innovation for Learning: Educational Solutions for South Sudan,47000,Innovation for Learning: Educational Solutions for South Sudan,Arizona State University at the Tempe Campus,NA,11/4/13,11/11/13,NA,NA,Sustainable Vision,"According to the United Nations, the children of South Sudan are the ""most under-schooled"" in the world. Half of all primary school-aged children have never attended school. Those who do venture into a classroom face an average student-to-teacher ratio of 200 to one. Among these teachers, only 6% have received any form of training. Not surprisingly, graduation rates are low, especially for girls, only 0.8% of whom complete elementary school, making the education gender gap in South Sudan the worst in all of Africa. Tally up these staggering numbers and you get the most dismal statistic of all: 84% of the population of South Sudan is completely illiterate.
 
Our proposed project, Innovation for Learning, will convene three transdisciplinary teams of students (engineering, business, product design and visual communication design) in the InnovationSpace program at Arizona State University. Their task is to address some of the educational challenges in South Sudan by creating learning environments and product concepts for a test school in the City of Nimule in South Sudan. In their design solutions, the InnovationSpace teams will focus on the principles of Frugal Innovation; ie, designs that are attuned to local conditions. The teams will explore materials and processes for their solutions that are readily available, locally abundant and sustainable.",1011097,Not Accepted,11097-13,a2C39000002zYt4EAE,NA
Graduate-Student-Mentored Multidisciplinary Teams for Humanitarian Engineering Capstone Design Projects at OSU,49972,Graduate-Student-Mentored Multidisciplinary Teams for Humanitarian Engineering Capstone Design Projects at OSU,Oregon State University,NA,11/4/13,11/8/13,NA,NA,Sustainable Vision,"Under the NCIIA Sustainable Vision Program, the PIs are proposing to use the three-year grant period to firmly establish a sustainable institutional structure for offering multidisciplinary humanitarian engineering capstone design projects. We envision these projects as one of the primary opportunities that students can use to satisfy the service-learning requirement for the new Humanitarian Engineering Undergraduate Minor that is coming on-line in Fall 2014. The design teams will be comprised of students from engineering disciplines, the College of Business, and, as appropriate, students from public health, anthropology, sociology, forestry, or other HE partner programs across campus. 

During the grant period, a minimum of two graduate-student-mentored super-design teams (SDTs) with a minimum of 8 and maximum of 12 students each will be in place working on humanitarian engineering-related projects. These teams will participate in a mid-project commercialization/social entrepreneurship review for a group of core HE faculty including representatives from the College of Engineering, College of Business, and other HE-partner units across campus. Teams with concepts that hold promise for commercialization/social entrepreneurship will receive additional formal commercialization/social entrepreneurship training and support during the second half of their capstone project experience. Beyond the capstone design project period, E-teams that grow out of the super-design-teams will be mentored by PI Turner to make use of the range of commercialization/social entrepreneurship resources available through and beyond OSU.
",1011106,Not Accepted,11106-13,a2C39000002zYt4EAE,0017000001LSVuBAAX
Technologies tailored to drinking water needs in rural Rajasthan villages,50000,Technologies tailored to drinking water needs in rural Rajasthan villages,Northwestern University,NA,11/5/13,11/11/13,NA,NA,Sustainable Vision,"NCIIA Sustainable Vision Grant support is requested to support the development of an International Undergraduate Research Experience for students interested in the intersection of environmental engineering and global health.  In collaboration with our partners, Jal Bhagirathi Foundation (JBF) in Rajasthan, India, students will design a field based, water quality testing kit that is tailored to the water resource conditions of rural Indian villages in the Thar Desert.  In addition, students will design solar distillation systems both at the point-of-use and community scales.  JBFs expertise is primarily in the areas of social science and rural development.  The scientific support team at JBF is understaffed with minimal resources, impeding their ability to monitor water quality efficiently. The goals of the proposed projects are to offer a challenging, on-the- ground, interdisciplinary design experience for our students and to assist JBF in developing engineering capacity to tackle the complex water scarcity issues facing the Marwar villagers of rural Rajasthan.  There are two objectives to the proposed work:

  Objective 1  Design & prototype a field-based water quality testing kit to monitor key chemical and biological parameters.  

  Objective 2  Design & prototype solar distillation systems to be used at household or village scale using local materials.  

Specifically, this funding will support the travel and on-site testing for NU engineering students and leverages $35,000 of equipment funding provided by the Murphy Society of the McCormick School of Engineering and Applied Science at Northwestern University.  
",1011108,Not Accepted,11108-13,a2C39000002zYt4EAE,0017000001LSVnNAAX
Empowering Distributed Global E-Teams(EDGE),50000,Empowering Distributed Global E-Teams(EDGE),Arizona State University at the Polytechnic Campus,NA,11/5/13,11/8/13,NA,NA,Sustainable Vision,"Arizona State University (ASU) and the University of Trinidad and Tobago (UTT) are partnering to jointly create and Empower Distributed Global E-teams (EDGE) to engage in new product development and entrepreneurship to address problems of poverty. This relationship is fostered by three faculty members in engineering and entrepreneurship who see advantages in collaboration, not only by faculty, but also by students in diverse environments. Both universities currently require capstone design projects in their engineering colleges and see potential in bringing their students together into non-collocated teams, where the different life contexts, geographical, cultural and political experiences of the team members can possibly lead to improvements in innovative thinking and lead to entrepreneurial ventures. The project objectives are listed below: 
1. Take advantage of the diversity of views and knowledge in different countries by creating a joint multi-national 2-course capstone sequence in innovative solution creation and entrepreneurship. 
2. Initiate and institutionalize a culture of globally-distributed collaboration around innovation and entrepreneurship that will promote the creation of E-teams comprising university students and faculty from both ASU and UTT. These E- teams will in-turn ideate, create, demonstrate, and bring to market, innovative products and solutions. 
3. Strengthen E-Teaming experiences for geographically-distributed design teams who are not able to travel to meet each other in person, or physically connect with stakeholders, mentors and entrepreneurship coaches. Develop and evaluate reusable curricular and technological tools, strategies and guidelines that provide a platform for a truly virtual immersion and venture creation experience.",1011111,Not Accepted,11111-13,a2C39000002zYt4EAE,0017000001LSVtoAAH
Innovation in Lighting for Developing Countries,48485,Innovation in Lighting for Developing Countries,Rensselaer Polytechnic Institute,NA,11/6/13,11/8/13,NA,NA,Sustainable Vision,"The LRC is seeking funding to build an entrepreneurial component within its Master of Science (MS) in Lighting program to foster the development and bringing to market of new innovative products that will provide improved lighting to homes in rural, non-electrified areas of developing countries. Through the project being proposed here, the LRC will weave content on socially-focused innovation and entrepreneurship into a key student-initiated, project-based course on lighting that is currently the culminating experience of its multidisciplinary MS in Lighting program. The LRC wants to make course content on innovation an integral part of the curriculum and provide students entrepreneurial knowledge, resources and opportunities.",1011126,Not Accepted,11126-13,a2C39000002zYt4EAE,0017000001LSW81AAH
NCIIA Sustainable Vision Proposal for a Campus-Wide Minor and Core Courses in Development Engineering,49900,NCIIA Sustainable Vision Proposal for a Campus-Wide Minor and Core Courses in Development Engineering,University of California-Berkeley,NA,11/6/13,11/8/13,NA,NA,Sustainable Vision,"UC Berkeley proposes to develop a graduate minor in Development Engineering for Emerging Regions that will be open campus-wide for students in a wide range of disciplines. The Development Engineering minor will establish a network of faculty and students that can create technology solutions to critical global problems using an entrepreneurial approach that is grounded in appropriate technologies, human-centered design methods, and scaling for impact. 
The minor will provide the foundation for developing not only technologies and solutions for emerging regions, but also business models and impact analyses for those new solutions. The NCIIA funding will be used to establish the minor in Development Engineering and launch two required courses: Technology Design and Evaluation and the Development Engineering Research and Practice Seminar. The three-year grant will provide supplies for initial prototypes and allow the program to fund promising student projects with the potential to commercialize technologies that benefit people living in poverty in the U.S. and world-wide. These activities will enable the best projects from the multidisciplinary Development Engineering teams to apply for competitive E-Team grants and other funding opportunities.",1011130,Not Accepted,11130-13,a2C39000002zYt4EAE,0017000001LSVsvAAH
Transforming Computer Science Courses for Entrepreneurship-Based Service Learning,39110,Transforming Computer Science Courses for Entrepreneurship-Based Service Learning,Drake University,NA,11/6/13,11/8/13,NA,NA,Sustainable Vision,"We are requesting funds from the NCIIA's Sustainable Vision program for the purpose of transforming two courses into service-learning courses in which multidisciplinary teams of students develop apps that help fulfill needs of Drake's community partners. Initially, these courses will work with Head Start, a child development program serving at-risk children of families in poverty, to develop tablet-based apps that help advance literacy and mathematics skills of preschoolers in their program. In the first course, an upper-level software engineering course, students majoring in computer science, graphic design, and journalism will be placed into E-Teams that will work with community partner end-users as customers on a complete software development project using professional-grade tools. E-Teams will be mentored by faculty in all three disciplines as well as industry professionals from local businesses, and teams will be guided into transitioning their deliverables into a commercializable product. The second course is a seminar for first-year students, which draws a wide range of students from all majors. Material on introductory app development will be integrated with the other learning goals of the seminar as part of a service-learning team project similar to the one in the upper-level software engineering course, but smaller in scale.",1011137,Not Accepted,11137-13,a2C39000002zYt4EAE,0017000001LSVE8AAP
