NAME,RECORDTYPEID,AMOUNT_REQUESTED__C,PROPOSAL_NAME_LONG_VERSION__C,APPLYING_INSTITUTION_NAME__C,AWARD_AMOUNT__C,DATE_CREATED__C,DATE_SUBMITTED__C,GRANT_PERIOD_END__C,GRANT_PERIOD_START__C,PROGRAM_COHORT_RECORD_TYPE__C,PROJECT_DESCRIPTION_PROPOSAL_ABSTRACT__C,ZENN_ID__C,STATUS__C,EXTERNAL_PROPOSAL_ID__C,PROPOSAL_FUNDER__C,APPLYING_INSTITUTION__C,PROGRAM_COHORT__C
Getting it Out There -- Actualization and Expansion of Work Already Done,01239000000Ap02AAC,50000,Getting it Out There -- Actualization and Expansion of Work Already Done,Hampshire College, ,2012-11-06,2012-11-12, , ,Type,"This NCIIA Sustainable Vision proposal seeks to:      create a spring semester course entitled, Getting it Out There   Actualization and Expansion of Work Already Done, a small, focused class in which promising technologies and devices are brought to the crucial next step of creating limited production runs that can be thoroughly tested and evaluated, strategically and systematically, by the communities they are intended to benefit;      advance three stellar projects that are ideal for this class format and for which we are seeking support over the next three years: a portable gynecological exam table, a rear wheel drive hand tricycle, and a pearl millet thresher; and      develop market-based approaches to poverty alleviation through technologies or devices that improve lives, save time or enable people to earn money.       The proposed ""bridge"" course will bring E-Team type student groups farther along in their knowledge base of prototyping, testing, costing out, and manufacturing new technologies intended to alleviate conditions of poverty. Interested students will be interviewed for specific roles in this class, much as one applies for a job in industry. We will assess the costs and trade-offs of different manufacturing techniques in order to develop a business plan with accurate information about production costs. In the months following this class, we propose a second phase in which the product would be manufactured in small volume and distributed to program partners with a plan for evaluation. The next step would be forming multidisciplinary E-Teams that would seek NCIIA support for E-Team Stage 1 activities.",1010069,Invited Resubmit,10069-12,The Lemelson Foundation,0017000001LSW88AAH,a2C39000002zYtNEAU
TIPeD Semester Course Grant,01239000000Ap02AAC,50000,TIPeD Semester Course Grant,University of Pittsburgh-Pittsburgh Campus, ,2012-11-20,2012-11-20, , ,Type,"The goal of this proposal is to develop an undergraduate, multi-disciplinary, international service-learning course series focused on design of technology for people with disabilities in less-resourced countries. This course series would build off a recently funded pilot project sponsored by the Provost of our university, and will support our goal of preparing undergraduate students to take on challenging and socially impactful projects in their careers. The course series is designed to provide in-depth didactic and hands-on training for undergraduates students in product design, and help expose our students to challenging and thought-provoking international development problems. The products resulting from the course series will be used as the basis for future funding mechanisms from NCIIA (E-Teams, Sustainable Vision), NIH (SBIR, R03), and NSF (I-corps) (among others) to support the broader impact of the coursework and products.",1010137,Invited Resubmit,10137-12,The Lemelson Foundation,0017000001MBMT1AAP,a2C39000002zYtNEAU
SV RFP Test,01239000000Ap02AAC,45000,SV RFP Test,Columbia University in the City of New York, ,2012-09-11,2012-09-11, , ,Type,This is an RFP test to see if this system is operating correctly.,1009851,Not Accepted,9851-12,The Lemelson Foundation,0017000001LSVo6AAH,a2C39000002zYtNEAU
Design and Action for Rural Energy Solutions (the DARES Network),01239000000Ap02AAC,49789,Design and Action for Rural Energy Solutions (the DARES Network),University of California-Berkeley, ,2012-11-01,2012-11-09, , ,Type,"Beginning with a sustainable energy partnership focused on energy needs in Haiti, we will establish the DARES Network of faculty and students in the US and beyond who are working to support the design, implementation and management of local off-grid energy systems.  The network will provide formal and informal instruction on rural energy systems.   Objectives:      Provide educational tools for classroom and field instruction on rural energy systems, integrating bioenergy, fossil-fuel, energy efficiency, and renewable energy resources.     Compile and disseminate resources for training in mini-grid and rural energy design, system maintenance and operation, as well as on the economic, legal, and household and community management of local energy solutions.     Partner in training of both university students and community groups through internet and on-the-ground linkages with a set of regional centers of excellence in rural energy service provision.   ",1010031,Not Accepted,10031-12,The Lemelson Foundation,0017000001LSVsvAAH,a2C39000002zYtNEAU
Design for Scale,01239000000Ap02AAC,50000,Design for Scale,Massachusetts Institute of Technology, ,2012-11-01,2012-11-08, , ,Type,"D-Lab: Design for Scale is a new course at MIT's D-Lab that will focus on product development for dissemination at scale. Students will work in interdisciplinary teams to develop previously established prototypes aimed at poverty alleviation into ready-to-be-manufactured products. The course will be grounded in frameworks of experiential learning and taught, beginning in 2013, by experienced practitioners from Cooper Perkins, Inc. and Apple, Inc. and instructors from D-Lab at MIT.",1010032,Not Accepted,10032-12,The Lemelson Foundation,0017000001LSVuHAAX,a2C39000002zYtNEAU
Renewable Energy Curriculum Development Course for Tribal Colleges,01239000000Ap02AAC,47250,Renewable Energy Curriculum Development Course for Tribal Colleges,University of Colorado at Boulder, ,2012-11-01,2012-11-11, , ,Type,"The proposed project will support economic development on Native American reservations through development of renewable energy curriculum and training of local tribal college instructors.  Based on the success of an extracurricular project in Haiti in 2011, a new two semester three credit experiential learning course (Sustainable Energy Curriculum Development) will be created at University of Colorado Boulder, where engineering students will evaluate Chippewa Cree tribal needs, develop renewable energy curriculum and assessment tools, train tribal college instructors, and assess educational outcomes for tribal college students.  The final curriculum/assessment tool package can then be tailored and shared with other Native American tribes that wish to pursue funding sources such as the NSF Tribal Colleges and Universities Program.   The ultimate impact of the program will be to facilitate tribal economic development and smart growth utilizing appropriate renewable energy systems that can be installed, repaired, and maintained by tribal members.",1010038,Not Accepted,10038-12,The Lemelson Foundation,0017000001LSW2dAAH,a2C39000002zYtNEAU
Tech Business Incubator: The Gambia,01239000000Ap02AAC,49475,Tech Business Incubator: The Gambia,Elizabethtown College, ,2012-11-02,2012-11-09, , ,Type,"We are building a student based collaborative partnership between Elizabethtown College (EC) and the University of The Gambia (UTG) with the goal of establishing and maintaining a sustainable business in The Gambia. The business will be built on the social business model designed to alleviate the effects of poverty in this developing country through affordable technologies centered on sustainable energy systems. The two institutions involved will support the startup with ongoing technology and business research and development. The program is being developed by expanding existing courses to include this international/multidisciplinary collaboration centered on developing appropriate technologies in the sustainable energy sector. During the three year grant period the bulk of the requested funding ($37,500) will support this collaboration by subsidizing airfare for travel to and from The Gambia of EC and UTG students and faculty.     Dr. Kurt DeGoede (PI), EC engineering, Dr. Petru Sandu, EC entrepreneurship, and Dr. Momodou Jain, UTG physics will mentor the student teams through all stages of the project. The PEACE program at St. Mary s College of Maryland will continue to provide the study abroad opportunity at UTG. Partners at the UTG School of Management will provide insight on the local business environment. We are currently piloting the program with an E-Team of nine EC students (engineering, international business, and political science). The pilot E-Team is developing a low cost (<$10) PV phone charging system for manufacture and sale in The Gambia. Over the three year grant we will launch one or more start-up businesses.",1010043,Not Accepted,10043-12,The Lemelson Foundation,0017000001LSVsKAAX,a2C39000002zYtNEAU
Social Technology Exchange (STE),01239000000Ap02AAC,49550,Social Technology Exchange (STE),Georgetown University, ,2012-11-02,2012-11-08, , ,Type,"Inspiring innovations that offer solutions to some of the world's most pressing problems are reshaping the way practitioners think about and approach development. Today there are game-changing social innovations for a wide range of development initiatives, from water and sanitation, to nutrition and health, to credit and banking. For the next generation of development professionals, understanding existing social technologies, as well as the innovation and design process, is essential for their ability to work productively in the field.      The interconnected objectives of the Social Technology Exchange program (STE) are to      - Unite Georgetown University students and faculty with industry mentors in a project to train the upcoming development professionals on poverty-reducing social technologies; and      - Contribute to the knowledge base in this field by producing accessible content for existing databases of information on social technology and the innovation process      The project consists of three parts:      1.  A two-day intensive seminar featuring some of the most influential minds in social technology and social enterprise.      2.  The development of a course called ""Technology, Innovation, and Development"" that focuses on the role that technology and innovation play in development breakthroughs by highlighting existing low-cost social technologies and best practices for innovation.      3.  The creation of content to be published to online platforms where development professionals around the world look for information and new ideas.      Through learning, teaching, and collaboration, STE will link students throughout the Georgetown community to each other, and to the booming social technology industry in an ongoing and meaningful way.    ",1010045,Not Accepted,10045-12,The Lemelson Foundation,0017000001LSWzVAAX,a2C39000002zYtNEAU
Capacity Building for Solar Energy Entrepreneurship in Mozambique,01239000000Ap02AAC,50000,Capacity Building for Solar Energy Entrepreneurship in Mozambique,Savannah State University, ,2012-11-03,2012-11-09, , ,Type,"A major impediment to successful renewable energy business in Mozambique (and other developing economies) is the lack of intellectual base to support the development and sustainability of the technology based enterprise.  For any renewable energy business to thrive in any society, a vibrant renewable energy community must be established. Such a community must comprise of engineers and scientists that would serve as the intellectual capital for the community; technicians and craftsmen to install, maintain and operate systems; and most importantly, informed consumers knowledgeable of the benefits and possibilities of the technology.  Through previous and present aid projects, Mozambique poor rural dwellers have become knowledgeable of the benefits and possibilities of solar energy technology.  Thus the only component rural Mozambique lacks, in order to have a viable solar energy community that can support successful entrepreneurship, is skilled technicians and craftsmen, and knowledgeable small businesspersons. The goal of this project is to fill this void thereby paving the way for lucrative solar energy business to thrive in rural Mozambique. A certificate program and a minor in Solar Energy Technology and Entrepreneurship (SETE) are proposed. A set of courses necessary for the acquisition of the requisite skillsets for solar energy installation, operation and maintenance, as well as running energy micro-business will be designed and delivered. Not only will the project develop the needed human capacity, but it will also change the mindset of the community from donor-financed projects dependency to sustainable free market economy approach.",1010055,Not Accepted,10055-12,The Lemelson Foundation,0017000001LSW17AAH,a2C39000002zYtNEAU
Multidisciplinary Social Entrepreneurship in Humanitarian Technology,01239000000Ap02AAC,49678,Multidisciplinary Social Entrepreneurship in Humanitarian Technology,Drexel University, ,2012-11-07,2012-11-13, , ,Type,"Drexel has demonstrated excellence in entrepreneurship and humanitarian technology, but these efforts have so far been isolated from each other. Examples include the Baiada Institute for Entrepreneurship, and three additional programs: WeServe (Mozambique and The Gambia), Engineers Without Borders (El Salvador and Jamaica), and Drexel Thai Harvest (Thailand). This proposal describes creation of DragonServe, a multidisciplinary umbrella program, to more effectively address Social Entrepreneurship in Humanitarian Technology. These areas would be pursued:      - Curriculum: Develop coordinated multidisciplinary academic opportunities such as links between existing courses, new special topics courses, Senior and Freshman Design teams, and advance the Humanitarian Engineering track of the Bachelor of Science in Engineering      - Applied social entrepreneurship: Engage social entrepreneurs from the College of Business in the three identified core sub-programs, all of which are seeking strong entrepreneurial components      - Planning, grants, and publications: Identify other interested parties at Drexel and jointly pursue major grant and foundation opportunities ($100,000+), present and publish      The expected outcome is Drexel s improved effectiveness in multidisciplinary entrepreneurship, sustainable development and humanitarian technology programs, assessed quantitatively by metrics including the number of E-Teams, number of people served by projects, Drexel students securing opportunities in related fields (e.g. Peace Corp, City year), and related scholarly publications.   ",1010082,Not Accepted,10082-12,The Lemelson Foundation,0017000001LSVsDAAX,a2C39000002zYtNEAU
Social Entrepreneurship Concentration,01239000000Ap02AAC,50000,Social Entrepreneurship Concentration,Sierra Nevada College, ,2012-11-07,2012-11-10, , ,Type,"Sierra Nevada College (SNC) is requesting support to design a Social Entrepreneurship concentration that any student could add to his or her degree and that is composed of the following courses: 1) A  core freshman seminar that helps students generate innovative ideas and teaches creative thinking. Freshmen in this seminar will be encouraged to choose a social entrepreneurship idea; 2) a special section of our sophomore level Entrepreneurial Thinking course within our Business Department that would encourage students to develop a required business plan around their social entrepreneurship idea generated in the freshman course. This course exists but would be adapted to focus on social entrepreneurship ideas and plans; 3) A junior course, based on our successful Service Learning Projects course in Interdisciplinary Studies, that would direct students as they implement their ideas in conjunction with a local community nonprofit; 4) A revamped version of our existing Social Entrepreneurship class, taken in conjunction with either an Internship or an Undergraduate Research course, that would allow students to build upon and expand their local community plan to have broader social implications. The goal would be to have students continue their projects on a grander scale after graduation; and 5) A Grant writing lab to give students the tools they need to seek funding for their ideas and their partner organizations. This is an experience designed to create social entrepreneurs through hands on learning.",1010090,Not Accepted,10090-12,The Lemelson Foundation,0017000001LSVsHAAX,a2C39000002zYtNEAU
"Improving the Processing of Teff in the Village of Simbo, Ethiopia",01239000000Ap02AAC,50000,"Improving the Processing of Teff in the Village of Simbo, Ethiopia",San Diego State University, ,2012-11-07,2012-11-09, , ,Type,"The rural village of Simbo in Ethiopia lacks much in terms of infrastructure and inhabitants are poor and lack many basic needs. Farmers mainly grow teff as it s a very drought resistant crop that represents a good source of protein. The separation of the grain from the crop is time- and resource inefficient, and reduces the yield as farmers take their children out of school to help spending days walking their livestock over piles of teff crop to separate out the grain and then pick up the grain from the hard ground afterwards. This program proposes to identify local requirements for a portable threshing machine, and subsequently design a threshing wheel, housing, and drive appropriate for teff threshing and local requirements. Faced challenges of extreme affordability design and limitations in local commercial off the shelf building materials, the program seeks to design and build a prototype that meets these requirements. If the program is successful in designing and testing a threshing machine that meets the requirements, the program seeks to kick-start local manufacturing and sale of the machines to other villages in Ethiopia. We have built up a good repore with the local population through starting one social entrepreneurship business and we are in the process of building a school. We have very recently also secured limited funding to improve agricultural production in Simbo, and see great opportunities for an affordable threshing machine to immediately reduce poverty and improve the lives of farmers in Simbo and throughout villages in Ethiopia.",1010091,Not Accepted,10091-12,The Lemelson Foundation,0017000001LSW9BAAX,a2C39000002zYtNEAU
SSU Sustainable Vision Program,01239000000Ap02AAC,49648,SSU Sustainable Vision Program,Savannah State University, ,2012-11-08,2012-11-09, , ,Type,"The objective of this proposal to the NCIIA is to secure funding for the development of an extracurricular, interdisciplinary student program. This program, which will be named the SSU Sustainable Vision Program, aims to provide an innovative, sustainable solution to a specific international community in need of infrastructure development that will provide access to basic human needs such as running water, sanitation, or transportation access. The SSU Sustainable Vision Program will provide students with experience in real-life project management in conjunction with sustainable infrastructure design and will serve as a framework model in which projects of a similar nature may be conducted by both private industries and other universities.   In order to efficiently design a sustainable infrastructure project in an international and underprivileged community, socio-cultural issues must be researched and examined, ecological conditions tested and analyzed, the local resources and environment must be monitored and evaluated and included in the design, and international communication must be established. These determinants must be performed in a sequential process, relying upon interdisciplinary collaboration, achieving specific milestones, and proper preparation. To determine the success of the proposed program s model for innovative and sustainable design solutions for an underprivileged international community, a pilot project such as this must be performed and evaluated.",1010107,Not Accepted,10107-12,The Lemelson Foundation,0017000001LSW17AAH,a2C39000002zYtNEAU
GSVC Platform,01239000000Ap02AAC,50000,GSVC Platform,University of California-Berkeley, ,2012-11-09,2012-11-12, , ,Type,"GSVC, founded in 1999, is the first competition to focus exclusively on the development of social ventures.  The year-long competition has grown to include a network of over 300 universities, located in fifty countries, around the world.  The goal of the GSVC is to provide coaching and mentoring locally, but to elevate world-class entrepreneurs from from Asia, Africa, Latin America, the Middle East, Europe, and the United States to complete globally.      As GSVC has grown, its vast network of educators, alumni, social entrepreneurs, impact investors, and other community members need easier access to information and greater connectivity.  A platform for social entrepreneurs that participate in the GSVC, or who are considering participating in the GSVC, will enable dynamic collaboration for teams located in disparate regions, on topics such as measuring social impact, securing funds from impact investors, and culling knowledge from experts in tracks such as education, sanitation, water, food, and healthcare.  We currently have 5,000   10,000 persons annually participating in GSVC, and at least 50,000 alumni since GSVC s founding, who would benefit from such a platform.      ",1010114,Not Accepted,10114-12,The Lemelson Foundation,0017000001LSVsvAAH,a2C39000002zYtNEAU
