NAME,AMOUNT_REQUESTED__C,PROPOSAL_NAME_LONG_VERSION__C,APPLYING_INSTITUTION_NAME__C,AWARD_AMOUNT__C,DATE_CREATED__C,DATE_SUBMITTED__C,GRANT_PERIOD_END__C,GRANT_PERIOD_START__C,PROJECT_DESCRIPTION_PROPOSAL_ABSTRACT__C,ZENN_ID__C,STATUS__C,EXTERNAL_PROPOSAL_ID__C,APPLYING_INSTITUTION__C,PROGRAM_COHORT__C,RECORDTYPEID,PROPOSAL_FUNDER__C
The RAAS Waste and Recycling Program,48000,The RAAS Waste and Recycling Program,Massachusetts Institute of Technology,28272,2011-10-06,2011-10-14,2014-08-31,2012-02-01,"Waste Sector Enterprise Development in Remote Communities - Worldwide, millions of remote villages and municipalities of 50,000 or less are unable to support waste sector enterprises due to the fact that routes to transport paper and plastic are too costly.  Therefore a hundred percent of waste in these locales is either burned, buried, or goes to one of many informal dumpsites, creating greenhouse gas emissions and public health hazards, including poor air quality and contaminated water systems. In the Southern Autonomous Region of Nicaragua (Region Autonoma del Atlantico Sur or RAAS), MIT?s D-Lab Waste has launched a three-year project that has established a reciprocal learning relationship between D-Lab Waste students and waste pickers in three RAAS municipalities. To support these efforts, D-lab Waste students use a highly participatory process to, in partnership with waste pickers, Bluefields Indian and Caribbean University (BICU), the local NGO blueEnergy, and the municipalities of Bluefields, Corn Island, and El Rama, co-create appropriate technology and business models for three enterprises: a recycling business and composting cooperative in each of the participating locales, and an anaerobic digester in El Rama and Bluefields.     Additionally, to   ensure the development of a profitable recycling route, the student team is now working with MIT?s Center for Transportation and Logistics, scrap metal collectors based in the region, and BICU Business Administration professor Danelee Antonio to research the most cost effective route to move recyclables from municipalities on the Atlantic Coast of Nicaragua to Managua, located on the other side of the country.   ",1008951,Funded,8951-11,0017000001LSVuHAAX,a2C39000002zYtIEAU,01239000000Ap02AAC,The Lemelson Foundation
Sustainable Water System: An Innovative Rainwater Capture Greenhouse Pilot Test and Dissemination Program for Sustainable Entrepreneurial Urban Agriculture.,49495,Sustainable Water System: An Innovative Rainwater Capture Greenhouse Pilot Test and Dissemination Program for Sustainable Entrepreneurial Urban Agriculture.,University of South Florida, ,2011-10-06,2011-10-18, , ,"Tampa-area schools have been doing community-based water sampling for several years (see Appendix C).  Recently, an entrepreneurial graduate student supplemented the program with lesson plans and training videos.  The NCIIA funding will expand this program to support this student in the testing of water through the Invention: Rainwater Capture Greenhouse (RCG).  The RCG prototypes will be constructed at community locations where grade school students will test waters through urban agriculture to provide data for university student teams to create a users manual and training videos to support product packages for export to Haiti.      These experiences will encourage food sustainability and simultaneously support university students  development of new businesses for the RCG construction, maintenance and operation.  Additionally, university entrepreneurial classes will incorporate new businesses to begin product distribution.  Such business creation will help mitigate Tampa s urban poverty on a local level while simultaneously preparing product packages to support relief efforts in Haiti.  The three grant AIMs include:     Construct the urban agriculture RCG prototype for testing and product sales package development for export to Haiti     Advanced water sampling to define ideal operations for selected produce using the RCG Invention     Professional training video production for distribution with final packaged RCG Invention and broadcast to further encourage entrepreneurship      Ultimately, this project will change individual attitudes about water resources and create respect for the vibrant Florida environment while establishing entrepreneur teams to support new business creation for product construction, maintenance and prepare manuals and packaging for product sales locally and to Haiti.   ",1008952,Not Accepted,8952-11,0017000001LSVsJAAX,a2C39000002zYtIEAU,01239000000Ap02AAC,The Lemelson Foundation
Transforming the Supply Chain to Benefit Shea Producers in the Sahel,49980,Transforming the Supply Chain to Benefit Shea Producers in the Sahel,"University of St Thomas (Saint Paul, Minnesota)", ,2011-10-06,2011-10-14, , ,"Shea nuts have historically belonged to the women of the Sahel. The global market for products made from these nuts, especially shea butter, has been steadily increasing, however; little economic gain is trickling back to rural African women. This proposal seeks to transform the current supply chain by connecting shea butter producers to the market by adding value through process efficiency and quality control. The assessment of the project will be a change in women s income from less than minimum wage to a living wage, and the dissemination model is based on peer-to-peer training through an existing network of shea producer cooperatives in West Africa. Three organizations propose to show proof-of-concept through a well-established collaboration with women s cooperatives in northern Ghana by introducing manual post-harvesting equipment, village level quality control kits and an appropriate business training model. Students in engineering and plant sciences will work along with personnel from a New York city based social enterprise with operations in Ghana and Mali and global connections throughout the Sahel. A hybrid business structure based on non-profit and profit branches will provide market linkages for female-owned shea butter micro-enterprises. This proposal will plan a pilot demonstration to disseminate the basic technology for increased quality and production by using:      Plant sciences students to develop a second-generation village level quality control kit.      Engineering students to develop a village level storage strategy and to conduct a field test of manual processing equipment.     Non-profit personnel to develop a community-based business and training model.   ",1008953,Not Accepted,8953-11,0017000001MBMGHAA5,a2C39000002zYtIEAU,01239000000Ap02AAC,The Lemelson Foundation
Insight: Affordable jaundice screening for newborns in India,50000,Insight: Affordable jaundice screening for newborns in India,Stanford University, ,2011-10-06,2011-10-12, , ,"Neonatal jaundice remains a serious global health challenge in developing countries. Kernicterus, brain damage, and death resulting from severe jaundice have virtually been eliminated in the West; however, approximately 53 million newborns are not screened and treated for jaundice in most parts of the world. This is largely due to a lack of affordable medical resources in rural areas where mothers give birth at home. A cross-disciplinary team of Stanford students and faculty will collaborate with D-Rev, an U.S. nonprofit, and Sir Ganga Ram Hospital in India to develop a jaundice screening device (Insight) to be used by community health workers in resource-scarce settings. With this grant, we will develop a proof of concept and test it in India. Our goal is to create a highly affordable and rugged device for diagnosing neonatal jaundice to help end newborn brain damage and death resulting from undetected jaundice worldwide.       The objectives of our project are:   1. Improve patient access to neonatal screening in rural clinics and settings. We will prototype a new screening device (develop a proof-of-concept) and conduct preliminary usability tests.   2. Determine a viable commercialization model.  This model includes manufacturing, distribution, sales, and maintenance.     3. Provide an engaging multidisciplinary education experience for two teams of 2-4 graduate students. They will focus on need-finding, business model determination, due diligence, and usability testing.   ",1008954,Invited Resubmit,8954-11,0017000001LSVwpAAH,a2C39000002zYtIEAU,01239000000Ap02AAC,The Lemelson Foundation
Community Building through Community Buildings: The Punta Cana Bamboo Project,50000,Community Building through Community Buildings: The Punta Cana Bamboo Project,Cornell University, ,2011-10-06,2011-10-14, , ,"1) Build an addition to an existing AIDS clinic for a Haitian community called Verón in the Dominican Republic.   2) Use a new bamboo space frame carbon-neutral building system that consists of rapidly renewable materials, reduces demands for local forest products, is hurricane-proof, seismically sound, and aesthetically pleasing.   3) Introduce a new form of building technology and enterprise for the establishment of a new local building industry. This will be accomplished through the establishment and maintenance of a Guadua nursery at the Punta Cana Ecological Foundation and the creation of a new vocational education program at the local Ann and Ted Kheel Polytechnic School. Technologies and expertise developed at Cornell University will be transferred through direct local stakeholder participation.",1008956,Not Accepted,8956-11,0017000001LSVqNAAX,a2C39000002zYtIEAU,01239000000Ap02AAC,The Lemelson Foundation
Scalable and Sustainable Technological Irrigation in Peru,50000,Scalable and Sustainable Technological Irrigation in Peru,Kettering University, ,2011-10-07,2011-10-14, , ,"Small farmers in Peru s many regions have agricultural property ranging in size from 1 to a few acres. The majority of these properties do not have water for irrigation and thus the farmers can only grow a limited set of crops during the rainy season, 2 to 3 months. Recently, a method of irrigation using technology has been proven effective. The method consists in digging wells where water if usually found 20 meters below surface, use submergible pumps to pump water into a reservoir, and using pipes to irrigate the land. The pumps can be solar or fuel powered.    Although technology based irrigation methods have been proven, it remains only a demonstration in Peru. Small and economically disadvantages farmers lack the purchasing power or enough credit to acquire and the know how to use technology based irrigation in a manner that is scalable and sustainable.   The proposed solution involves:     developing a process to organize farmers into small communities or associations and use proven financial schemes to fund the acquisition of solar based irrigation products     a marketing program     an innovative application of existing solar and irrigation technology that has the potential of greatly improving the economy and quality of life of the targeted farming population   The program will involve students in courses at the KU Business Department in both curricular and extra-curricular fashion. The curricular component will involve student projects where students will analyze the innovations, suggest improvements, perform various scalability and sustainability studies, and producing final recommendations.   ",1008959,Not Accepted,8959-11,0017000001LSW5OAAX,a2C39000002zYtIEAU,01239000000Ap02AAC,The Lemelson Foundation
Low Cost Autoclaves for Primary Health Clinics in Developing Countries,49700,Low Cost Autoclaves for Primary Health Clinics in Developing Countries,Massachusetts Institute of Technology, ,2011-10-07,2011-10-20, , ,"Primary health clinics in developing countries often cannot provide the care that their patients need because of their limitations in financial and training resources. These limitations hinder the practice of sterile techniques and are at least partially responsible for the dramatically higher post-surgical infection rates seen in developing countries. Autoclaves, used for the sterilization of instruments, are currently available, but they are often too expensive, complicated to operate, expensive to repair and dependent on unreliable sources of electricity. Most clinics in developing countries currently employ alternative methods, such as alcohol and flame, chemical solutions and boiling in water, but these methods are not effective against spores and other dangerous microbes. The Low Cost Autoclaves for Primary Health Clinics team at MIT has developed a simple, low-cost autoclave made from of a retrofitted pressure cooker. It can be powered by any heating source, and it has a unique cycle monitor that makes it easy to use.      The goal of the Low Cost Autoclaves for Primary Health Clinics Initiative is:   - to provide resource restricted clinics with a low cost autoclave   - to provide the necessary training for operating and servicing the autoclave   - to increase awareness around the importance of sterile equipments and procedures to establish partnerships with local manufacturing facilities",1008960,Invited Resubmit,8960-11,0017000001LSVuHAAX,a2C39000002zYtIEAU,01239000000Ap02AAC,The Lemelson Foundation
Transforming Arsenic Crisis Into A Technology-Based Economic Enterprise in South Asia,40331,Transforming Arsenic Crisis Into A Technology-Based Economic Enterprise in South Asia,Lehigh University,41431,2011-10-07,2011-10-14,2014-08-31,2012-02-01,"Although unknown nearly 25 years ago, over 200 million people in South and Southeast Asia are routinely exposed to arsenic poisoning by drinking naturally contaminated groundwater.  For well over ten years, Lehigh University has led an international team to develop, install and monitor hundreds of community-based arsenic removal systems in several countries including India, Cambodia, Laos and Vietnam. Participating families pay a tariff for arsenic-safe water; there are clear signs of economic growth and enhanced employment opportunities. A polymer-based arsenic-selective adsorbent forms the core of the technology and is currently manufactured in the United States. High cost, import duty and uncertainty in shipping due to bureaucratic formalities in receiving countries have surfaced as primary obstacles for further growth.   Using materials available in India (zirconium oxide nanoparticles and ion exchange resins), PI  developed an equally efficient, reusable arsenic-selective adsorbent that will cost fifty percent less. One technology based private company, Enhanced Water and Air Pollution Prevention (India) Ltd, has enthusiastically agreed to invest for large-scale synthesis of the material. The private company in India is highly interested in using the technology also to provide safe drinking water to high-rise buildings in semi-urban areas, a growing market in the developing world. The project will streamline the synthesis process, manufacture 300 liters/day the adsorbent material, and obtain necessary certifications for a prompt entry into the market place. An NCIIA grant will provide impetus toward a synergistic partnership between the private company and Lehigh University for rapid commercialization of the technology.   ",1008961,Funded,8961-11,0017000001LSVoHAAX,a2C39000002zYtIEAU,01239000000Ap02AAC,The Lemelson Foundation
Low-Cost Solar Heat Water Pasteurizer for Nigeria,50000,Low-Cost Solar Heat Water Pasteurizer for Nigeria,Michigan Technological University, ,2011-10-07,2011-10-10, , ,"This proposal is a collaborative effort between Michigan Technological University (MTU), Denkenberger Inventing and Consulting (DIC) LLC, AEPAY Nigeria and the AEPAY Global Energy Corporation (AGEC). The goal of this project is to prototype and commercialize a polymer-based extremely-low cost solar heat water pasteurizer for the rural Nigerian market in Lagos, Ogun, Oyo, Ondo, Ekiti and Oshun States. The Nigerian National Population and Commission s 2008 Demographic and Health Survey shows that 85% of the rural population is not treating their water in any way prior to drinking even though only 43.6% of the rural population has access to safe water.  Many in both rural and urban areas boil water from rain and contaminated ponds. This method has several well-known drawbacks. However, all microbes that cause disease in humans do not survive at temperatures exceeding 65oC, which passive solar water pasteurization (SWP) devices can produce. Initial work has already shown a flow-through SWP capable of producing 15L per day would be less expensive than current water supply methods if it can be fabricated with a polymer heat exchanger. Such heat exchangers have already been tested by DIC. To continue this work, this project has 3 goals:   * Develop, test, and refine the complete solar water pasteurization prototypes to obtain 30L/day (MTU), with DIC providing technical support and AEPAY Nigeria providing market information, social acceptability and manufacturability guidance.    * Successfully field test the prototypes in south-western Nigeria (MTU & AEPAY)   * Begin manufacturing and selling the solar pasteurizers in Nigeria (AEPAY).",1008962,Invited Resubmit,8962-11,0017000001LSVnYAAX,a2C39000002zYtIEAU,01239000000Ap02AAC,The Lemelson Foundation
Smarter Solar: Improving the Educational Experience in Haiti through Solar-Powered Technology in the Schools,38064,Smarter Solar: Improving the Educational Experience in Haiti through Solar-Powered Technology in the Schools,Illinois Institute of Technology, ,2011-10-07,2011-10-14, , ,"Our project proposes developing a business case surrounding the direct current (DC-)only solar powering solution our team has developed for schools in Haiti participating in a technology-in-education program. Our DC-only solar powering solution is flexible and elegant enough to be able to be deployed in just about any technology-in-education scenario, given that most classroom technology operates on a direct current. By avoiding the multiple conversions that usually happen in a solar PV system, we introduce greater efficiencies, lower costs for the system, and fewer components that can fail or need maintenance. We have already deployed our first pilot installation at the EFACAP primary school in Lascahobas, Haiti, in August, 2011. In addition, in order to realize the successful commercialization of our solar solution locally in Haiti, we are working to initiate an entrepreneurially-focused program at the State University in Haiti, to nurture realization of the business proposition we, and the students, will develop vis-à-vis this solar solution (and other endeavors in the future). We will do this through a four-way collaborative partnership between students and professors in the IPRO program at IIT and at the State University in Haiti, the Haiti OLPC team, and a solar-powering ICT solutions social enterprise based in San Francisco, Green Wifi.      ",1008963,Not Accepted,8963-11,0017000001LSWAZAA5,a2C39000002zYtIEAU,01239000000Ap02AAC,The Lemelson Foundation
Affordable Greenhouses: Means for Improved Livelihoods & Food Security (Mavuuno Greenhouses),37750,Affordable Greenhouses: Means for Improved Livelihoods & Food Security (Mavuuno Greenhouses),Pennsylvania State University-Main Campus,38950,2011-10-09,2011-10-18,2015-08-31,2012-02-01,"Reflecting the rising global food security challenges, over 60% of the east African population is considered malnourished with many regions in a state of famine. There is broad agreement on the need to help small-scale farmers move from subsistence to sustainability by boosting their agricultural productivity, reducing spoilage and providing market linkages. Greenhouses allow farmers to grow vegetables and fruits year-round through mechanically controlled temperature and irrigation systems. Greenhouses can help farmers increase their yields and improve their livelihoods while reducing spoilage and furthering food security. Imported greenhouses sold in East Africa are designed for large commercial farms. They are too expensive for small-scale farmers and do not meet their needs and use preferences. Over the last three years, our team has collaborated with diverse Kenyan and Tanzanian entities to design, prototype, and field-test affordable greenhouses designed for small agro-enterprises and sustenance farmers.      With the help of this grant, we propose to:      1. Refine the greenhouse technology in preparation for large-scale dissemination through a network of distributed micro-enterprises. The focus will be on design for easy assembly and researching low-cost substitutes for greenhouse-grade plastics.      2. Develop appropriate resources and host a series of hands-on workshops for entrepreneurs, educators and community development professionals on affordable greenhouse construction and greenhouse economics.      3. Develop a greenhouse entrepreneurial eco-system that connects entrepreneurs, educators, independent sales agents, non-profits, industry partners, government agencies, UN agencies and other players to discuss and address relevant issues. This will be a virtual network that convenes on a frequent basis.",1008965,Funded,8965-11,0017000001MBMSkAAP,a2C39000002zYtIEAU,01239000000Ap02AAC,The Lemelson Foundation
