NAME,RECORDTYPEID,ALIAS__C,Zenn ID
"Weaving an Equitable Global Tapestry:  Intersection of Textiles, Coffee, Economic Development, and Highland Maya Community",012390000009qKOAAY,"Weaving an Equitable Global Tapestry:  Intersection of Textiles, Coffee, Economic Development, and Highland Maya Community",1003923
Aloeterra (Solar decathlon 2007),012390000009qKOAAY,,1003924
An educational model for developing self sufficient schools,012390000009qKOAAY,,1003926
Lightning Hazard-Warning Decision Support for Low-Income Outdoor Workers,012390000009qKOAAY,,1003927
Stevens Institute of Technology: Partnerships for Stevens E2-Lab,012390000009qKOAAY,,1003928
Sustainable Innovation Learning Lab Program,012390000009qKOAAY,,1003929
Social Entrepreneur Development in Southern New Mexico,012390000009qKOAAY,,1003930
Sustayne,012390000009qKOAAY,,1003934
Innovations in International Health,012390000009qKOAAY,,1003939
From Hospital to Home: Designing for Resilience in Transition across the Care Continuum,012390000009qKOAAY,From Hospital to Home: Designing for Resilience in Transition across the Care Continuum,1003940
Developmental Entrepreneurship Program (Ibero-American Initiative),012390000009qKOAAY,,1003946
